player_id,outcome,min,sec,x,y,to_x,to_y,field_pass,type,team
17127,1,11,18,45.8,22.8,54,29.8,t,101,Germany
17127,1,11,18,45.8,22.8,,,t,100,Germany
17127,1,11,19,54,29.8,59.6,20.6,t,1,Germany
37605,1,11,21,59.6,20.6,,,t,100,Germany
37605,1,11,21,59.6,20.6,59.2,22.5,t,101,Germany
37605,1,11,22,59.2,22.5,51.9,50.3,t,1,Germany
44989,0,11,25,52.2,44.2,73.4,4.4,t,1,Germany
104512,1,11,29,21.5,95.6,,,f,12,Argentina
104512,0,11,30,14.2,101.8,,,f,5,Argentina
44989,1,11,30,85.8,-1.8,,,f,5,Germany
69140,0,11,43,83.2,0,97.7,35.4,f,1,Germany
28549,1,11,47,3,60.2,,,f,52,Argentina
28549,0,11,57,15.9,63.6,63.6,40.3,t,1,Argentina
41316,1,12,1,32.4,72.7,,,f,12,Germany
149828,0,12,3,65.3,46.3,78.1,43.1,t,1,Argentina
40691,1,12,6,21.3,60.3,19.6,40.3,t,1,Germany
17127,0,12,8,19.3,40.6,61,0,t,1,Germany
88746,1,12,12,40.1,101.2,,,f,5,Argentina
17127,0,12,12,59.9,-1.2,,,f,5,Germany
88746,1,12,13,41.2,100,32.9,89,f,1,Argentina
50117,1,12,15,32.9,89,,,f,100,Argentina
50117,1,12,15,32.9,89,32.6,86.3,f,101,Argentina
50117,1,12,16,32.6,86.3,14,57.2,t,1,Argentina
28549,1,12,19,14,57.2,,,t,100,Argentina
28549,1,12,19,14,57.2,14.8,53.4,t,101,Argentina
28549,1,12,20,14.8,53.4,63.1,25.6,t,1,Argentina
44336,1,12,25,61.7,17.6,,,f,44,Argentina
44336,0,12,25,63.1,25.6,86.1,2.9,t,1,Argentina
41316,0,12,25,38.3,82.4,,,f,44,Germany
41316,1,12,29,17.1,97.5,,,f,49,Germany
41316,1,12,29,17.1,97.5,5.3,70.8,t,1,Germany
20388,1,12,44,5.3,70.8,,,t,100,Germany
20388,1,12,44,5.3,70.8,14.7,47.8,t,101,Germany
20388,1,12,45,14.7,47.8,18.4,80.9,t,1,Germany
40691,1,12,47,18.4,80.9,,,t,100,Germany
40691,1,12,47,18.4,80.9,19.7,81.1,t,101,Germany
40691,1,12,48,19.7,81.1,28,63.9,t,1,Germany
15207,1,12,50,28,63.9,,,t,100,Germany
15207,1,12,50,28,63.9,27.3,62.9,t,101,Germany
15207,1,12,51,27.3,62.9,35.6,36.3,t,1,Germany
15208,1,12,54,35.6,36.3,,,t,100,Germany
15208,1,12,54,35.6,36.3,42.4,30.1,t,101,Germany
15208,1,12,55,42.4,30.1,59.4,58.8,t,1,Germany
51498,0,12,58,40.6,46.2,,,f,4,Argentina
37605,1,12,58,59.4,53.8,,,f,4,Germany
15207,0,13,10,59.5,57.9,65.6,50.9,f,1,Germany
82752,1,13,13,37.4,50.9,,,f,49,Argentina
82752,1,13,13,37.4,50.9,43.6,39.4,t,1,Argentina
44336,0,13,15,48.1,50.6,49.9,50.4,t,1,Argentina
15208,1,13,16,47.1,51.9,,,f,74,Germany
44989,1,13,18,53,46.3,,,f,49,Germany
44989,1,13,20,63,35.5,69.1,55.5,t,1,Germany
15208,1,13,23,69.1,55.5,72,59.6,t,101,Germany
15208,1,13,23,69.1,55.5,,,t,100,Germany
15208,1,13,24,72,59.6,100,49.8,f,15,Germany
28549,1,13,24,4.4,49.7,,,f,10,Argentina
28549,1,13,27,4.3,51,,,f,11,Argentina
28549,1,13,38,4.3,51,24.3,32.2,f,1,Argentina
149786,0,13,41,30.1,30.6,77.3,11.4,t,1,Argentina
40691,1,13,46,19.9,91.2,,,f,12,Germany
44336,1,13,48,70.4,5.8,,,f,7,Argentina
41316,1,13,48,29.6,94.2,,,f,50,Germany
44336,1,13,50,80.3,9.5,,,f,49,Argentina
44336,0,13,52,91.3,18.5,93,24.4,f,1,Argentina
40691,1,13,54,10.9,75.9,,,f,12,Germany
44336,1,13,55,93.2,25.7,,,f,3,Argentina
40691,0,13,55,6.8,74.3,,,f,45,Germany
44336,0,13,57,96.6,34,95.9,100,f,1,Argentina
40691,1,14,3,5,-0.8,,,f,5,Germany
69140,0,14,23,9.5,0,35.4,10.1,f,1,Germany
50117,1,14,27,62,91.1,44.3,79.9,t,1,Argentina
149786,1,14,31,44.3,78.7,,,f,49,Argentina
149786,1,14,31,44.3,78.7,21.4,65.1,t,1,Argentina
28549,0,14,33,20.7,57.8,63,0,t,1,Argentina
28549,0,14,38,62.5,-1,,,f,5,Argentina
69140,1,14,38,37.5,101,,,f,5,Germany
41316,1,14,41,40.8,100,35,85.3,f,1,Germany
40691,1,14,44,35,85.3,,,f,100,Germany
40691,1,14,44,35,85.3,34.7,72.4,f,101,Germany
40691,1,14,45,34.7,72.4,29.1,33.4,t,1,Germany
17127,1,14,46,29.1,33.4,,,t,100,Germany
17127,1,14,46,29.1,33.4,29.1,30,t,101,Germany
